AuthorID,Author,Date,Content,Attachments,Reactions
172002275412279296,Tatsu#8792,2024-04-18T00:46:56.8970000+01:00,"@Egg 
 **Congrats you've earned the `Active Member (500+)` role for chatting long enough in this discord!**
 Enjoy your new role and position in the discord!",,
641009845696200746,vwmk7.5,2024-04-18T00:47:06.0940000+01:00,But yeah oneday that would be nice,,
641009845696200746,vwmk7.5,2024-04-18T00:47:28.4400000+01:00,Maybe a anamorphic one day,,
721686599317979136,marlow925,2024-04-18T00:52:04.8020000+01:00,A7RIII most certainly would be better for stills,,
721686599317979136,marlow925,2024-04-18T00:52:50.6420000+01:00,"here .. at the end of the day, you have the camera you have ... and you do with it, what you can ... what you get out of it .. is up to you !!",,☝🏼 (2)
641009845696200746,vwmk7.5,2024-04-18T01:37:21.8910000+01:00,It still works,https://cdn.discordapp.com/attachments/1224713323409313872/1230316206813216819/0409.mov?ex=68540481&is=6852b301&hm=88513790df5e7aa05ceb91a91866f0889c47482b0ccede4926991452f6f16544&,
641009845696200746,vwmk7.5,2024-04-18T01:37:55.1350000+01:00,But im sure with some more skill i can get it workin well,,
721686599317979136,marlow925,2024-04-18T01:39:09.3250000+01:00,you should have turned that video,,💯 (1)
721686599317979136,marlow925,2024-04-18T01:39:21.5700000+01:00,i'm all sideways now,,
857245714785501214,ayysaph,2024-04-18T01:41:32.6590000+01:00,boy my ear almost exploded,,
721686599317979136,marlow925,2024-04-18T01:41:58.6390000+01:00,from what ?,,
857245714785501214,ayysaph,2024-04-18T01:42:05.6580000+01:00,the music is super loud,,
721686599317979136,marlow925,2024-04-18T01:42:21.1240000+01:00,video .. good way my volume was way down,,😌 (7)
857245714785501214,ayysaph,2024-04-18T01:42:22.9690000+01:00,i'm listening at 2% volume and it's good,,
857245714785501214,ayysaph,2024-04-18T01:42:40.5500000+01:00,it was on 10%,,
857245714785501214,ayysaph,2024-04-18T01:42:47.7380000+01:00,and busted my brains out,,
721686599317979136,marlow925,2024-04-18T01:43:27.6830000+01:00,,https://cdn.discordapp.com/attachments/1224713323409313872/1230317740854738974/20240418_014246.jpg?ex=685405ef&is=6852b46f&hm=cad3b178dc484e4a2c98d79053e83174fda042fc38ca917e50a761d2168f4e79&,
721686599317979136,marlow925,2024-04-18T01:43:56.8210000+01:00,hardware to make shure noobs don't boost me,,
641009845696200746,vwmk7.5,2024-04-18T04:45:58.2470000+01:00,I usually do,,
641009845696200746,vwmk7.5,2024-04-18T04:46:02.9950000+01:00,But stupid insta,,
641009845696200746,vwmk7.5,2024-04-18T04:46:10.0190000+01:00,And i hate vertical video,,
977582077400735784,draiydsnl,2024-04-18T07:50:57.3700000+01:00,"i have work, but i have only 700 euros",,
977582077400735784,draiydsnl,2024-04-18T07:51:23.3210000+01:00,im not gonna spend 700 euros on a good camera,,
977582077400735784,draiydsnl,2024-04-18T08:37:44.8830000+01:00,i spended 1200 euros on my jvc shoulder cam,,
